File	Speaker	Gender	DateOfBirth	DateOfRecording	Participants	WordCount	SocioEconomicStatus	Locutor	Visit	OriginalAge	Age	SituationType	AgeCategory
HV1/BR/acebr1	CHI	female	1984	1988	2	130	lower	Child	HV1	3;7.08	3.59	Book reading	3
HV1/BR/acebr1	MOT	female	1984	1988	2	938	lower	PrimaryCaregiver	HV1	NA	3.59	Book reading	3
HV1/BR/acebr1	EX1	NA	1984	1988	2	75	lower	Other	HV1	NA	3.59	Book reading	3
HV1/BR/admbr1	CHI	male	1985	1989	3	321	lower	Child	HV1	4;1.09	4.09	Book reading	4
HV1/BR/admbr1	MOT	female	1985	1989	3	674	lower	PrimaryCaregiver	HV1	NA	4.09	Book reading	4
HV1/BR/admbr1	UNC	male	1985	1989	3	1	lower	Other	HV1	NA	4.09	Book reading	4
HV1/BR/admbr1	EX1	NA	1985	1989	3	4	lower	Other	HV1	NA	4.09	Book reading	4
HV1/BR/aimbr1	CHI	female	1984	1988	4	307	lower	Child	HV1	3;10.16	3.85	Book reading	3
HV1/BR/aimbr1	MOT	female	1984	1988	4	931	lower	PrimaryCaregiver	HV1	NA	3.85	Book reading	3
HV1/BR/aimbr1	BRO	male	1984	1988	4	53	lower	Peer	HV1	NA	3.85	Book reading	3
HV1/BR/aimbr1	BAB	NA	1984	1988	4	15	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/aimbr1	INV	NA	1984	1988	4	18	lower	Other	HV1	NA	3.85	Book reading	3
HV1/BR/alibr1	CHI	female	1985	1989	3	478	NA	Child	HV1	3;9.25	3.77	Book reading	3
HV1/BR/alibr1	MOT	female	1985	1989	3	863	NA	PrimaryCaregiver	HV1	NA	3.77	Book reading	3
HV1/BR/alibr1	BRO	male	1985	1989	3	96	NA	Peer	HV1	NA	3.77	Book reading	3
HV1/BR/alibr1	INV	NA	1985	1989	3	2	NA	Other	HV1	NA	3.77	Book reading	3
HV1/BR/allbr1	CHI	female	1984	1988	2	85	lower	Child	HV1	3;7.05	3.59	Book reading	3
HV1/BR/allbr1	MOT	female	1984	1988	2	386	lower	PrimaryCaregiver	HV1	NA	3.59	Book reading	3
HV1/BR/allbr1	INV	NA	1984	1988	2	174	lower	Other	HV1	NA	3.59	Book reading	3
HV1/BR/anabr1	CHI	female	1984	1988	3	502	lower	Child	HV1	4;2.02	4.17	Book reading	4
HV1/BR/anabr1	MOT	female	1984	1988	3	3866	lower	PrimaryCaregiver	HV1	NA	4.17	Book reading	4
HV1/BR/anabr1	BRO	male	1984	1988	3	389	lower	Peer	HV1	NA	4.17	Book reading	4
HV1/BR/anabr1	INV	NA	1984	1988	3	69	lower	Other	HV1	NA	4.17	Book reading	4
HV1/BR/annbr1	CHI	female	1985	1989	3	266	lower	Child	HV1	4;0.14	4.01	Book reading	4
